Time,Frame,r,Phi,Theta,FILE
140,14,8,0,45,image/output_000140_000001.png
140,14,8,0,90,image/output_000140_000002.png
140,14,8,0,135,image/output_000140_000003.png
140,14,8,0,180,image/output_000140_000004.png
140,14,8,0,225,image/output_000140_000005.png
140,14,8,0,270,image/output_000140_000006.png
140,14,8,0,315,image/output_000140_000007.png
140,14,8,45,0,image/output_000140_000008.png
140,14,8,45,45,image/output_000140_000009.png
140,14,8,45,90,image/output_000140_000010.png
140,14,8,45,135,image/output_000140_000011.png
140,14,8,45,180,image/output_000140_000012.png
140,14,8,45,225,image/output_000140_000013.png
140,14,8,45,270,image/output_000140_000014.png
140,14,8,45,315,image/output_000140_000015.png
140,14,8,90,0,image/output_000140_000016.png
140,14,8,90,45,image/output_000140_000017.png
140,14,8,90,90,image/output_000140_000018.png
140,14,8,90,135,image/output_000140_000019.png
140,14,8,90,180,image/output_000140_000020.png
140,14,8,90,225,image/output_000140_000021.png
140,14,8,90,270,image/output_000140_000022.png
140,14,8,90,315,image/output_000140_000023.png
150,15,8,0,0,image/output_000150_000000.png
150,15,8,0,45,image/output_000150_000001.png
150,15,8,0,90,image/output_000150_000002.png
150,15,8,0,135,image/output_000150_000003.png
150,15,8,0,180,image/output_000150_000004.png
150,15,8,0,225,image/output_000150_000005.png
150,15,8,0,270,image/output_000150_000006.png
150,15,8,0,315,image/output_000150_000007.png
150,15,8,45,0,image/output_000150_000008.png
150,15,8,45,45,image/output_000150_000009.png
150,15,8,45,90,image/output_000150_000010.png
150,15,8,45,135,image/output_000150_000011.png
150,15,8,45,180,image/output_000150_000012.png
150,15,8,45,225,image/output_000150_000013.png
150,15,8,45,270,image/output_000150_000014.png
150,15,8,45,315,image/output_000150_000015.png
150,15,8,90,0,image/output_000150_000016.png
150,15,8,90,45,image/output_000150_000017.png
150,15,8,90,90,image/output_000150_000018.png
150,15,8,90,135,image/output_000150_000019.png
150,15,8,90,180,image/output_000150_000020.png
150,15,8,90,225,image/output_000150_000021.png
150,15,8,90,270,image/output_000150_000022.png
150,15,8,90,315,image/output_000150_000023.png
160,16,8,0,0,image/output_000160_000000.png
160,16,8,0,45,image/output_000160_000001.png
160,16,8,0,90,image/output_000160_000002.png
160,16,8,0,135,image/output_000160_000003.png
160,16,8,0,180,image/output_000160_000004.png
160,16,8,0,225,image/output_000160_000005.png
160,16,8,0,270,image/output_000160_000006.png
160,16,8,0,315,image/output_000160_000007.png
160,16,8,45,0,image/output_000160_000008.png
160,16,8,45,45,image/output_000160_000009.png
160,16,8,45,90,image/output_000160_000010.png
160,16,8,45,135,image/output_000160_000011.png
160,16,8,45,180,image/output_000160_000012.png
160,16,8,45,225,image/output_000160_000013.png
160,16,8,45,270,image/output_000160_000014.png
160,16,8,45,315,image/output_000160_000015.png
160,16,8,90,0,image/output_000160_000016.png
160,16,8,90,45,image/output_000160_000017.png
160,16,8,90,90,image/output_000160_000018.png
160,16,8,90,135,image/output_000160_000019.png
160,16,8,90,180,image/output_000160_000020.png
160,16,8,90,225,image/output_000160_000021.png
160,16,8,90,270,image/output_000160_000022.png
160,16,8,90,315,image/output_000160_000023.png
170,17,8,0,0,image/output_000170_000000.png
170,17,8,0,45,image/output_000170_000001.png
170,17,8,0,90,image/output_000170_000002.png
170,17,8,0,135,image/output_000170_000003.png
170,17,8,0,180,image/output_000170_000004.png
170,17,8,0,225,image/output_000170_000005.png
170,17,8,0,270,image/output_000170_000006.png
170,17,8,0,315,image/output_000170_000007.png
170,17,8,45,0,image/output_000170_000008.png
170,17,8,45,45,image/output_000170_000009.png
170,17,8,45,90,image/output_000170_000010.png
170,17,8,45,135,image/output_000170_000011.png
170,17,8,45,180,image/output_000170_000012.png
170,17,8,45,225,image/output_000170_000013.png
170,17,8,45,270,image/output_000170_000014.png
170,17,8,45,315,image/output_000170_000015.png
170,17,8,90,0,image/output_000170_000016.png
170,17,8,90,45,image/output_000170_000017.png
170,17,8,90,90,image/output_000170_000018.png
170,17,8,90,135,image/output_000170_000019.png
170,17,8,90,180,image/output_000170_000020.png
170,17,8,90,225,image/output_000170_000021.png
170,17,8,90,270,image/output_000170_000022.png
170,17,8,90,315,image/output_000170_000023.png
180,18,8,0,0,image/output_000180_000000.png
180,18,8,0,45,image/output_000180_000001.png
180,18,8,0,90,image/output_000180_000002.png
180,18,8,0,135,image/output_000180_000003.png
180,18,8,0,180,image/output_000180_000004.png
180,18,8,0,225,image/output_000180_000005.png
180,18,8,0,270,image/output_000180_000006.png
180,18,8,0,315,image/output_000180_000007.png
180,18,8,45,0,image/output_000180_000008.png
180,18,8,45,45,image/output_000180_000009.png
180,18,8,45,90,image/output_000180_000010.png
180,18,8,45,135,image/output_000180_000011.png
180,18,8,45,180,image/output_000180_000012.png
180,18,8,45,225,image/output_000180_000013.png
180,18,8,45,270,image/output_000180_000014.png
180,18,8,45,315,image/output_000180_000015.png
180,18,8,90,0,image/output_000180_000016.png
180,18,8,90,45,image/output_000180_000017.png
180,18,8,90,90,image/output_000180_000018.png
180,18,8,90,135,image/output_000180_000019.png
180,18,8,90,180,image/output_000180_000020.png
180,18,8,90,225,image/output_000180_000021.png
180,18,8,90,270,image/output_000180_000022.png
180,18,8,90,315,image/output_000180_000023.png
190,19,8,0,0,image/output_000190_000000.png
190,19,8,0,45,image/output_000190_000001.png
190,19,8,0,90,image/output_000190_000002.png
190,19,8,0,135,image/output_000190_000003.png
190,19,8,0,180,image/output_000190_000004.png
190,19,8,0,225,image/output_000190_000005.png
190,19,8,0,270,image/output_000190_000006.png
190,19,8,0,315,image/output_000190_000007.png
190,19,8,45,0,image/output_000190_000008.png
190,19,8,45,45,image/output_000190_000009.png
190,19,8,45,90,image/output_000190_000010.png
190,19,8,45,135,image/output_000190_000011.png
190,19,8,45,180,image/output_000190_000012.png
190,19,8,45,225,image/output_000190_000013.png
190,19,8,45,270,image/output_000190_000014.png
190,19,8,45,315,image/output_000190_000015.png
190,19,8,90,0,image/output_000190_000016.png
190,19,8,90,45,image/output_000190_000017.png
190,19,8,90,90,image/output_000190_000018.png
190,19,8,90,135,image/output_000190_000019.png
190,19,8,90,180,image/output_000190_000020.png
190,19,8,90,225,image/output_000190_000021.png
190,19,8,90,270,image/output_000190_000022.png
190,19,8,90,315,image/output_000190_000023.png
200,20,8,0,0,image/output_000200_000000.png
200,20,8,0,45,image/output_000200_000001.png
200,20,8,0,90,image/output_000200_000002.png
200,20,8,0,135,image/output_000200_000003.png
200,20,8,0,180,image/output_000200_000004.png
200,20,8,0,225,image/output_000200_000005.png
200,20,8,0,270,image/output_000200_000006.png
200,20,8,0,315,image/output_000200_000007.png
200,20,8,45,0,image/output_000200_000008.png
200,20,8,45,45,image/output_000200_000009.png
200,20,8,45,90,image/output_000200_000010.png
200,20,8,45,135,image/output_000200_000011.png
200,20,8,45,180,image/output_000200_000012.png
200,20,8,45,225,image/output_000200_000013.png
200,20,8,45,270,image/output_000200_000014.png
200,20,8,45,315,image/output_000200_000015.png
200,20,8,90,0,image/output_000200_000016.png
200,20,8,90,45,image/output_000200_000017.png
200,20,8,90,90,image/output_000200_000018.png
200,20,8,90,135,image/output_000200_000019.png
200,20,8,90,180,image/output_000200_000020.png
200,20,8,90,225,image/output_000200_000021.png
200,20,8,90,270,image/output_000200_000022.png
200,20,8,90,315,image/output_000200_000023.png
210,21,8,0,0,image/output_000210_000000.png
210,21,8,0,45,image/output_000210_000001.png
210,21,8,0,90,image/output_000210_000002.png
210,21,8,0,135,image/output_000210_000003.png
210,21,8,0,180,image/output_000210_000004.png
210,21,8,0,225,image/output_000210_000005.png
210,21,8,0,270,image/output_000210_000006.png
210,21,8,0,315,image/output_000210_000007.png
210,21,8,45,0,image/output_000210_000008.png
210,21,8,45,45,image/output_000210_000009.png
210,21,8,45,90,image/output_000210_000010.png
210,21,8,45,135,image/output_000210_000011.png
210,21,8,45,180,image/output_000210_000012.png
210,21,8,45,225,image/output_000210_000013.png
210,21,8,45,270,image/output_000210_000014.png
210,21,8,45,315,image/output_000210_000015.png
210,21,8,90,0,image/output_000210_000016.png
210,21,8,90,45,image/output_000210_000017.png
210,21,8,90,90,image/output_000210_000018.png
210,21,8,90,135,image/output_000210_000019.png
210,21,8,90,180,image/output_000210_000020.png
210,21,8,90,225,image/output_000210_000021.png
210,21,8,90,270,image/output_000210_000022.png
210,21,8,90,315,image/output_000210_000023.png
220,22,8,0,0,image/output_000220_000000.png
220,22,8,0,45,image/output_000220_000001.png
220,22,8,0,90,image/output_000220_000002.png
220,22,8,0,135,image/output_000220_000003.png
220,22,8,0,180,image/output_000220_000004.png
220,22,8,0,225,image/output_000220_000005.png
220,22,8,0,270,image/output_000220_000006.png
220,22,8,0,315,image/output_000220_000007.png
220,22,8,45,0,image/output_000220_000008.png
220,22,8,45,45,image/output_000220_000009.png
220,22,8,45,90,image/output_000220_000010.png
220,22,8,45,135,image/output_000220_000011.png
220,22,8,45,180,image/output_000220_000012.png
220,22,8,45,225,image/output_000220_000013.png
220,22,8,45,270,image/output_000220_000014.png
220,22,8,45,315,image/output_000220_000015.png
220,22,8,90,0,image/output_000220_000016.png
220,22,8,90,45,image/output_000220_000017.png
220,22,8,90,90,image/output_000220_000018.png
220,22,8,90,135,image/output_000220_000019.png
220,22,8,90,180,image/output_000220_000020.png
220,22,8,90,225,image/output_000220_000021.png
220,22,8,90,270,image/output_000220_000022.png
220,22,8,90,315,image/output_000220_000023.png
230,23,8,0,0,image/output_000230_000000.png
230,23,8,0,45,image/output_000230_000001.png
230,23,8,0,90,image/output_000230_000002.png
230,23,8,0,135,image/output_000230_000003.png
230,23,8,0,180,image/output_000230_000004.png
230,23,8,0,225,image/output_000230_000005.png
230,23,8,0,270,image/output_000230_000006.png
230,23,8,0,315,image/output_000230_000007.png
230,23,8,45,0,image/output_000230_000008.png
230,23,8,45,45,image/output_000230_000009.png
230,23,8,45,90,image/output_000230_000010.png
230,23,8,45,135,image/output_000230_000011.png
230,23,8,45,180,image/output_000230_000012.png
230,23,8,45,225,image/output_000230_000013.png
230,23,8,45,270,image/output_000230_000014.png
230,23,8,45,315,image/output_000230_000015.png
230,23,8,90,0,image/output_000230_000016.png
230,23,8,90,45,image/output_000230_000017.png
230,23,8,90,90,image/output_000230_000018.png
230,23,8,90,135,image/output_000230_000019.png
230,23,8,90,180,image/output_000230_000020.png
230,23,8,90,225,image/output_000230_000021.png
230,23,8,90,270,image/output_000230_000022.png
230,23,8,90,315,image/output_000230_000023.png
240,24,8,0,0,image/output_000240_000000.png
240,24,8,0,45,image/output_000240_000001.png
